Dach sach doc gia chua tra sach: (Tinh den ngay: 9:7:34__25/6/2017 )
ID account          Ten sach                                                              Thoi gian muon      
truongphuongnam     The Strange Case of Dr Jekyll and Mr Hyde                             48 ngay
ngominhnhut         Scoop                                                                 110 ngay
danhdanhdanh        USA                                                                   167 ngay
nguyenhoaidanh      Catch-22                                                              146 ngay
phamhongnhat        Nightmare Abbey                                                       278 ngay
nguyenhoaidanh      Three Men in a Boat                                                   32 ngay
phuongduy           The Woman in White                                                    96 ngay
phuongduy           The Picture of Dorian Gray                                            131 ngay
phuongduy           The Charterhouse of Parma                                             193 ngay


