
Ten sach     				   			     ||Tac gia				     ||So luoc noi dung
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Don Quixote                                                           Miguel De Cervantes                     Don Quixote - the first modern novel - remains the finest. As a new translation of the Spanish classic is published, Harold Bloom argues that only Shakespeare comes close to Cervantes' genius. What is the true object of Don Quixote's quest? I find that unanswerable. What are Hamlet's authentic motives? We are not permitted to know. Since Cervantes's magnificent knight's quest has cosmological scope and reverberation, no object seems beyond reach. Hamlet's frustration is that he is allowed only Elsinore and revenge tragedy. Shakespeare composed a poem unlimited, in which only the protagonist is beyond all limits. Cervantes and Shakespeare, who died almost simultaneously, are the central western authors, at least since Dante, and no writer since has matched them, not Tolstoy or Goethe, Dickens, Proust, Joyce.
Pilgrim's Progress                                                    John Bunyan                             The English novel begins behind bars, in extremis. Its first author, John Bunyan, was a Puritan dissenter whose writing starts with sermons and ends with fiction. His famous allegory, the story of Christian, opens with a sentence of luminous simplicity that has the haunting compulsion of the hook in a great melody. "As I walk'd through the wilderness of this world, I lighted on a certain place, where was a Denn; And I laid me down in that place to sleep: And as I slept I dreamed a Dream." A "Denn" is a prison, and Bunyan wrote most of the book in Bedford county gaol, having been arrested for his beliefs during the "Great Persecution" of 1660-1690. He shares the experience of prison with Cervantes, who had the idea for Don Quixote while incarcerated in La Mancha. Like so many novels that follow in this list, The Pilgrim's Progress blends fact and fiction.
Robinson Crusoe                                                       Daniel Defoe                            English fiction began with The Pilgrim’s Progress, but nearly 50 turbulent years, including the Glorious Revolution, passed before it made its great leap forward. The author of this literary milestone is a strangely appealing literary hustler of nearly 60 years old originally named Daniel Foe (he added “De” to improve his social standing), a one-time journalist, pamphleteer, jack of all trades and spy. Like Bunyan, he had suffered at the hands of the state (the pillory, followed by prison in 1703). Unlike Bunyan, he was not religious. His world-famous novel is a complex literary confection. It purports to be a history, written by Crusoe himself, and edited by Daniel Defoe who, in the preface, teasingly writes that he “believes the thing to be a just History of Fact; neither is there any Appearance of Fiction in it”.
Gulliver's Travels                                                    Jonathan Swift                          Seven years after the publication of Robinson Crusoe, the great Tory essayist and poet Jonathan Swift – inspired by the Scriblerus club, whose members included John Gay and Alexander Pope – composed a satire on travel narratives that became an immediate bestseller. According to Gay, Gulliver was soon being read “from the cabinet council to the nursery”. In its afterlife as a classic, Gulliver’s Travels works on many levels. First, it’s a masterpiece of sustained and savage indignation, “furious, raging, obscene”, according to Thackeray. Swift’s satirical fury is directed against almost every aspect of early 18th-century life: science, society, commerce and politics. Second, stripped of Swift’s dark vision, it becomes a wonderful travel fantasy for children, a perennial favourite that continues to inspire countless versions, in books and films.
Tom Jones                                                             Henry Fielding                          How many readers, if they are honest, discovered some of the greatest novels through film or television? Gatsby? Pride and Prejudice? The English Patient? Dr Zhivago? I first got interested in Tom Jones having seen John Osborne's famous adaptation, starring the young Albert Finney as the eponymous hero. That's an exceptional film. Classics often don't make good films, or only do so – such as Oliver! – through a process of reinterpretation. Tom Jones, however, might have been made for the screen. Never mind its numerous chapters and teeming cast of misfits and scoundrels, the central character is an attractively unbridled young man of fierce temper and unrestrained sexuality who pursues true love through contemporary Britain in a sequence of scandalous and hilarious adventures.
Clarissa                                                              Samuel Richardson                       After The Pilgrim's Progress and Robinson Crusoe, the next landmark in English fiction is a towering monument of approximately 970,000 words, Clarissa, the longest novel in the English canon. From time to time, its length is challenged by later upstarts – most recently by Vikram Seth's A Suitable Boy and Infinite Jest by David Foster Wallace – but Samuel Richardson's The History of a Young Lady remains an extraordinary achievement. To Samuel Johnson, it was simply "the first book in the world for the knowledge it displays of the human heart". Most critics agree that it is one of the greatest European novels, whose influence casts a long shadow. I first read Clarissa, in France, in a gold-tooled library edition of many volumes. In the house where I was staying there was nothing else to read in English; I picked it up quite ignorant of its reputation and importance.
Tristram Shandy                                                       Laurence Sterne                         Tristram Shandy and its author, Laurence Sterne, are so intensely modern in mood and attitude, so profanely alert to the nuances of the human comedy, and so engaged with the narrative potentiality of the genre that it comes as something of a shock to discover that the novel was published during the seven years war. In other words, it appeared during the annus mirabilis of that prototype of international warfare that saw stunning British military victories in India, Canada and the Caribbean, and established the first British empire that would send the English language around the world. Some of the raw ebullience of the national mood is mirrored in the slightly mad pages of this uniquely entertaining novel. "Shandy" is a word of obscure origin meaning "crack-brained, half-crazy". Tristram himself says he is writing a "civil, nonsensical, good-humoured Shandean book". 
Dangerous Liaisons                                                    Pierre Choderlos De Laclos              Tresolved to write a book that would be quite outside the ordinary trend, which would make a sensation and echo over the world after I left it," Pierre Ambroise François Choderlos de Laclos wrote of his first and only novel, Les Liaisons Dangereuses. Published in April 1782, Les Liaisons was an immediate sensation, a succès de scandale. Yet later it would be banned in France, and denounced - despite its own insistent morality - as immoral; it would not be translated into English until the 1920s when it was celebrated by, among others, Virginia Woolf. The first major film adaptation was Roger Vadim's dismal offering of 1959, starring Jeanne Moreau and Gerard Philipe. Today, Les Liaisons continues to be translated to the stage and screen: the novel seemingly being reinterpreted for each new generation.
Emma                                                                  Jane Austen                             How on earth to choose just one Jane Austen novel? Austen, for some, is simply the supreme English novelist, on any list. Some will say: she is the greatest. Nominate all six, from Pride and Prejudice on. But the rules of our selection only allow one title per author: there has to be a choice. So, to represent her fiction here, I've chosen Emma for three particular reasons. First, it's my personal favourite, a mature and brilliant comedy of manners (and much more besides) completed towards the end of her life. Second, published by John Murray, Emma takes us into a new literary landscape, the beginnings of a book world that lingers unto the 21st century. And third, most importantly of all, Austen's last novel has the sparkle of early books such as Pride and Prejudice.
